sent_id	index	Inflection/Surface form	Stem / Root	Category	Gender	Number	Person	Case	Vib	TAM	Voice	head_inflection	head_stem	karka Relation
1991	17	गर्भवती	गर्भवती	adj	any	any	-	o	-	-	-	महिला	महिला	nmod__adj
1991	18	महिला	महिला	n	f	sg	3	o	0_को	0	-	आई	आ	k4a
1991	19	को	को	psp	-	-	-	-	-	-	-	महिला	महिला	lwg__psp
1991	20	कितनी	कितना	adj	f	pl	-	d	-	-	-	दिक्कतें	दिक्कत	nmod__adj
1991	21	दिक्कतें	दिक्कत	n	f	pl	3	d	0	0	-	आई	आ	k1
1991	22	पेश	पेश	adj	any	any	-	-	-	-	-	आई	आ	pof
1991	23	आई	आ	v	f	pl	any	-	या	yA	active	कि	कि	ccof
1991	24	।	।	punc	-	-	-	-	-	-	-	बताया	बता	rsym
1992	1	यहां	यहाँ	pn	-	-	-	d	-	-	-	बसे	बस	k7p
1992	2	बहुत	बहुत	avy	-	-	-	-	-	-	-	लोग	लोग	nmod__adj
1992	3	से	से	avy	-	-	-	-	-	-	-	बहुत	बहुत	lwg__rp
1992	4	लोग	लोग	n	m	pl	3	d	0	0	-	बसे	बस	k1
1992	5	पंजाब	पंजाब	n	m	sg	3	o	0_से	0	-	आकर	आ	k5
1992	6	से	से	psp	-	-	-	-	-	-	-	पंजाब	पंजाब	lwg__psp
1992	7	आकर	आ	v	any	any	any	-	कर	kara	-	बसे	बस	vmod
1992	8	भी	भी	avy	-	-	-	-	-	-	-	आकर	आ	lwg__rp
1992	9	बसे	बस	v	m	pl	3	-	या_है	yA	active	ROOT	ROOT	main
1992	10	हैं	है	v	any	pl	3	-	है	hE	-	बसे	बस	lwg__vaux
1992	11	।	।	punc	-	-	-	-	-	-	-	बसे	बस	rsym
1993	1	इसमें	यह	pn	any	sg	3	o	में	meM	-	है	है	k7
1993	2	पूर्व	पूर्व	adj	any	any	-	o	-	-	-	सैनिकों	सैनिक	nmod__adj
1993	3	सैनिकों	सैनिक	n	m	pl	3	o	0_का	0	-	संख्या	संख्या	r6
1993	4	की	का	psp	f	sg	-	d	-	-	-	सैनिकों	सैनिक	lwg__psp
1993	5	संख्या	संख्या	n	f	sg	3	d	0	0	-	है	है	k1
1993	6	ज्यादा	ज्यादा	avy	-	-	-	-	-	-	-	है	है	k1s
1993	7	है	है	v	any	sg	3	-	है	hE	active	ROOT	ROOT	main
1993	8	।	।	punc	-	-	-	-	-	-	-	है	है	rsym
1994	1	उन्होंने	वह	pn	any	sg	3h	o	ने	ne	-	बताया	बता	k1
1994	2	बताया	बता	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
1994	3	कि	कि	avy	-	-	-	-	-	-	-	बताया	बता	k2
1994	4	पिछले	पिछला	adj	m	pl	-	o	-	-	-	सालों	साल	nmod__adj
1994	5	३५	३५	num	any	any	-	any	-	-	-	सालों	साल	nmod__adj
1994	6	सालों	साल	n	m	pl	3	o	0_में	0	-	बनाया	बना	k7t
1994	7	में	में	psp	-	-	-	-	-	-	-	सालों	साल	lwg__psp
1994	8	उन्होंने	वह	pn	any	sg	3h	o	ने	ne	-	बनाया	बना	k1
1994	9	जो	जो	pn	any	sg	3	d	-	-	-	कुछ	कुछ	nmod__adj
1994	10	कुछ	कुछ	pn	any	any	3	d	0	0	-	बनाया	बना	k2
1994	11	बनाया	बना	v	m	sg	any	-	या_था	yA	active	कुछ	कुछ	nmod__relc
1994	12	था	था	v	m	sg	any	-	था	WA	-	बनाया	बना	lwg__vaux
1994	13	,	COMMA	punc	-	-	-	-	-	-	-	बनाया	बना	rsym
1994	14	सब	सब	pn	any	pl	3	d	0	0	-	कुछ	कुछ	mod
1994	15	कुछ	कुछ	pn	any	any	3	d	0	0	-	चढ़	चढ़	k1
1994	16	तूफान	तूफान	n	m	sg	3	o	0_का	0	-	भेंट	भेंट	r6-k2
1994	17	की	का	psp	f	sg	-	d	-	-	-	तूफान	तूफान	lwg__psp
1994	18	भेंट	भेंट	n	f	sg	3	d	0	0	-	चढ़	चढ़	pof
1994	19	चढ़	चढ़	v	any	sg	any	-	0_जा+या	0	active	कि	कि	ccof
1994	20	गया	जा	v	m	sg	any	-	या	yA	-	चढ़	चढ़	lwg__vaux
1994	21	।	।	punc	-	-	-	-	-	-	-	बताया	बता	rsym
1995	1	आंखों	आंख	n	f	pl	3	o	0_में	0	-	लिए	ले	k7
1995	2	में	में	psp	-	-	-	-	-	-	-	आंखों	आंख	lwg__psp
1995	3	आंसू	आँसू	n	m	pl	3	d	0	0	-	लिए	ले	k2
1995	4	लिए	ले	v	m	sg	any	-	या	yA	-	कौर	कौर	nmod__k1inv
1995	5	परमजीत	परमजीत	n	f	sg	3	d	0	0	-	कौर	कौर	pof__cn
1995	6	कौर	कौर	n	f	sg	3	d	0	0	-	करती	कर	k1
1995	7	हाथ	हाथ	n	m	pl	3	d	0	0	-	जोड़कर	जोड़	k2
1995	8	जोड़कर	जोड़	v	any	any	any	-	कर	kara	-	करती	कर	vmod
1995	9	प्रधानमंत्री	प्रधानमंत्री	n	m	sg	3	o	0_से	0	-	करती	कर	k4
1995	10	से	से	psp	-	-	-	-	-	-	-	प्रधानमंत्री	प्रधानमंत्री	lwg__psp
1995	11	अपने	अपना	pn	m	any	any	o	0	0	-	परिवार	परिवार	r6
1995	12	परिवार	परिवार	n	m	sg	3	o	0_को	0	-	बसाने	बसा	k2
1995	13	को	को	psp	-	-	-	-	-	-	-	परिवार	परिवार	lwg__psp
1995	14	पंजाब	पंजाब	n	m	sg	3	o	0_में	0	-	बसाने	बसा	k7p
1995	15	में	में	psp	-	-	-	-	-	-	-	पंजाब	पंजाब	lwg__psp
1995	16	बसाने	बसा	v	any	sg	any	o	ना_का	nA	-	निवेदन	निवेदन	r6-k2
1995	17	का	का	psp	m	sg	-	d	-	-	-	बसाने	बसा	lwg__psp
1995	18	निवेदन	निवेदन	n	m	sg	3	d	0	0	-	करती	कर	pof
1995	19	करती	कर	v	f	sg	3h	-	ता_है	wA	active	ROOT	ROOT	main
1995	20	हैं	है	v	any	sg	3h	-	है	hE	-	करती	कर	lwg__vaux
1995	21	।	।	punc	-	-	-	-	-	-	-	करती	कर	rsym
1996	1	वह	वह	pn	any	sg	3	d	0	0	-	चाहती	चाह	k1
1996	2	अब	अब	pn	-	-	-	d	-	-	-	चाहती	चाह	k7t
1996	3	यहां	यहाँ	pn	-	-	-	d	-	-	-	ठहरना	ठहर	k7p
1996	4	नहीं	नहीं	avy	-	-	-	-	-	-	-	ठहरना	ठहर	lwg__neg
1996	5	ठहरना	ठहर	v	any	any	any	d	ना	nA	-	चाहती	चाह	k2
1996	6	चाहती	चाह	v	f	sg	3h	-	ता	wA	active	ROOT	ROOT	main
1996	7	।	।	punc	-	-	-	-	-	-	-	चाहती	चाह	rsym
1997	1	पीड़ितों	पीड़ित	n	m	pl	3	o	0_का	0	-	दशा	दशा	r6
1997	2	की	का	psp	f	sg	-	d	-	-	-	पीड़ितों	पीड़ित	lwg__psp
1997	3	दशा	दशा	n	f	sg	3	d	0	0	-	देखकर	देख	k2
1997	4	देखकर	देख	v	any	any	any	-	कर	kara	-	कहा	कह	vmod
1997	5	भावुक	भावुक	adj	any	any	-	-	-	-	-	हो	हो	pof
1997	6	हो	हो	v	any	sg	3h	-	0_उठ+या	0	-	सिंह	सिंह	nmod__k1inv
1997	7	उठे	उठ	v	m	sg	3h	-	या	yA	-	हो	हो	lwg__vaux
1997	8	सिंह	सिंह	n	any	sg	3	o	0_ने	0	-	कहा	कह	k1
1997	9	ने	ने	psp	-	-	-	-	-	-	-	सिंह	सिंह	lwg__psp
1997	10	कहा	कह	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
1997	11	कि	कि	avy	-	-	-	-	-	-	-	कहा	कह	k2
1997	12	जो	जो	pn	any	sg	3	d	-	-	-	कुछ	कुछ	nmod__adj
1997	13	कुछ	कुछ	pn	any	any	3	d	0	0	-	है	है	k1
1997	14	भी	भी	avy	-	-	-	-	-	-	-	कुछ	कुछ	lwg__rp
1997	15	संभव	संभव	adj	any	any	-	-	-	-	-	है	है	k1s
1997	16	हम	हम	pn	any	pl	1	d	0	0	-	करेंगे	कर	k1
1997	17	करेंगे	कर	v	m	pl	1	-	गा	gA	active	कि	कि	ccof
1997	18	।	।	punc	-	-	-	-	-	-	-	कहा	कह	rsym
1998	1	आप	आप	pn	any	sg	2h	d	0	0	-	खोएं	खो	k1
1998	2	उम्मीद	उम्मीद	n	f	sg	3	d	0	0	-	खोएं	खो	k2
1998	3	न	न	avy	-	-	-	-	-	-	-	खोएं	खो	lwg__neg
1998	4	खोएं	खो	v	any	sg	2h	-	एं	eM	active	ROOT	ROOT	main
1998	5	।	।	punc	-	-	-	-	-	-	-	खोएं	खो	rsym
1999	1	पूर्वोत्तर	पूर्वोत्तर	n	m	sg	3	d	0	0	-	राज्य	राज्य	pof__cn
1999	2	राज्य	राज्य	n	m	sg	3	o	0	0	-	असम	असम	nmod
1999	3	असम	असम	n	m	sg	3	o	0_में	0	-	लगी	लग	k7p
1999	4	में	में	psp	-	-	-	-	-	-	-	असम	असम	lwg__psp
1999	5	गुवाहाटी	गुवाहाटी	n	m	sg	3	o	0_से	0	-	किलोमीटर	किलोमीटर	nmod
1999	6	से	से	psp	-	-	-	-	-	-	-	गुवाहाटी	गुवाहाटी	lwg__psp
1999	7	५२०	५२०	num	any	any	-	any	-	-	-	किलोमीटर	किलोमीटर	nmod__adj
1999	8	किलोमीटर	किलोमीटर	n	m	sg	3	d	0_दूर	0	-	लगी	लग	k7p
1999	9	दूर	दूर	nst	m	sg	3	d	-	-	-	किलोमीटर	किलोमीटर	lwg__psp
1999	10	डिकोम	डिकोम	n	m	sg	3	o	0_के_पास	0	-	लगी	लग	k7p
1999	11	के	के	psp	-	-	-	-	-	-	-	डिकोम	डिकोम	lwg__psp
1999	12	पास	पास	nst	m	sg	3	d	-	-	-	डिकोम	डिकोम	lwg__psp
1999	13	एक	एक	num	any	any	-	any	-	-	-	कुएं	कुआँ	nmod__adj
1999	14	तेल	तेल	n	m	sg	3	d	0	0	-	कुएं	कुआँ	pof__cn
1999	15	कुएं	कुआँ	n	m	sg	3	o	0_में	0	-	लगी	लग	k7p
1999	16	में	में	psp	-	-	-	-	-	-	-	कुएं	कुआँ	lwg__psp
1999	17	लगी	लग	v	f	sg	any	-	या	yA	-	आग	आग	nmod__k2inv
1999	18	आग	आग	n	f	sg	3	d	0	0	-	हो	हो	k1
1999	19	शुक्रवार	शुक्रवार	n	m	sg	3	d	0	0	-	रात	रात	nmod__adj
1999	20	रात	रात	n	f	sg	3	d	0	0	-	हो	हो	k7t
1999	21	और	और	avy	-	-	-	-	-	-	-	प्रचंड	प्रचंड	nmod__adj
1999	22	प्रचंड	प्रचंड	adj	any	any	-	-	-	-	-	हो	हो	k1s
1999	23	हो	हो	v	any	sg	any	-	0_जा+या	0	active	ROOT	ROOT	main
1999	24	गई	जा	v	f	sg	any	-	या	yA	-	हो	हो	lwg__vaux
1999	25	।	।	punc	-	-	-	-	-	-	-	हो	हो	rsym
2000	1	अधिकारियों	अधिकारी	n	m	pl	3	o	0_का	0	-	मानना	मान	k1
2000	2	का	का	psp	m	sg	-	d	-	-	-	अधिकारियों	अधिकारी	lwg__psp
2000	3	मानना	मान	v	any	any	any	d	ना	nA	-	है	है	k1
2000	4	है	है	v	any	sg	3	-	है	hE	active	ROOT	ROOT	main
2000	5	कि	कि	avy	-	-	-	-	-	-	-	मानना	मान	k2
2000	6	इस	यह	pn	any	sg	3	o	-	-	-	आग	आग	nmod__adj
2000	7	आग	आग	n	f	sg	3	o	0_पर	0	-	पाने	पा	k7
2000	8	पर	पर	psp	-	-	-	-	-	-	-	आग	आग	lwg__psp
2000	9	काबू	काबू	n	m	sg	3	d	0	0	-	पाने	पा	pof
2000	10	पाने	पा	v	any	any	any	o	ना_में	nA	-	लगेंगे	लग	k7
2000	11	में	में	psp	-	-	-	-	-	-	-	पाने	पा	lwg__psp
2000	12	अमेरिकी	अमेरिकी	adj	any	any	-	o	-	-	-	विशेषज्ञों	विशेषज्ञ	nmod__adj
2000	13	विशेषज्ञों	विशेषज्ञ	n	m	pl	3	o	0	0	-	और	और	ccof
2000	14	और	और	avy	-	-	-	-	-	-	-	लगेंगे	लग	k4a
2000	15	स्थानीय	स्थानीय	adj	any	any	-	o	-	-	-	कर्मचारियों	कर्मचारी	nmod__adj
2000	16	अग्निशमन	अग्निशमन	n	m	sg	3	d	0	0	-	कर्मचारियों	कर्मचारी	pof__cn
2000	17	कर्मचारियों	कर्मचारी	n	m	pl	3	o	0_को	0	-	और	और	ccof
2000	18	को	को	psp	-	-	-	-	-	-	-	कर्मचारियों	कर्मचारी	lwg__psp
2000	19	कम	कम	avy	-	-	-	-	-	-	-	दिन	दिन	nmod__adj
2000	20	से	से	avy	-	-	-	-	-	-	-	कम	कम	lwg__rp
2000	21	कम	कम	avy	-	-	-	-	-	-	-	दिन	दिन	nmod__adj
2000	22	दो	दो	num	any	any	-	any	-	-	-	दिन	दिन	nmod__adj
2000	23	दिन	दिन	n	m	pl	3	d	0	0	-	लगेंगे	लग	k1
2000	24	और	और	avy	-	-	-	-	-	-	-	लगेंगे	लग	adv
2000	25	लगेंगे	लग	v	m	pl	3	-	गा	gA	active	कि	कि	ccof
2000	26	।	।	punc	-	-	-	-	-	-	-	है	है	rsym
2001	1	ऑयल	ऑयल	n	m	sg	3	d	0	0	-	लिमिटेड	लिमिटेड	pof__cn
2001	2	इंडिया	इंडिया	n	m	sg	3	d	0	0	-	लिमिटेड	लिमिटेड	pof__cn
2001	3	लिमिटेड	लिमिटेड	n	m	sg	3	o	0	0	-	अधिकारी	अधिकारी	r6
2001	4	(	(	punc	-	-	-	-	-	-	-	ओआईएल	ओआईएल	rsym
2001	5	ओआईएल	ओआईएल	n	m	sg	3	o	0	0	-	लिमिटेड	लिमिटेड	rs
2001	6	)	)	punc	-	-	-	-	-	-	-	ओआईएल	ओआईएल	rsym
2001	7	के	का	psp	m	sg	-	o	-	-	-	लिमिटेड	लिमिटेड	fragof
2001	8	एक	एक	num	any	any	-	any	-	-	-	अधिकारी	अधिकारी	nmod__adj
2001	9	वरिष्ठ	वरिष्ठ	adj	any	any	-	o	-	-	-	अधिकारी	अधिकारी	nmod__adj
2001	10	अधिकारी	अधिकारी	n	m	sg	3	o	0_ने	0	-	बताया	बता	k1
2001	11	ने	ने	psp	-	-	-	-	-	-	-	अधिकारी	अधिकारी	lwg__psp
2001	12	बताया	बता	v	m	sg	any	-	या	yA	active	ROOT	ROOT	main
2001	13	कि	कि	avy	-	-	-	-	-	-	-	बताया	बता	k2
2001	14	आग	आग	n	f	sg	3	d	0	0	-	किए	कर	k1
2001	15	अभी	अभी	pn	-	-	-	d	-	-	-	किए	कर	k7t
2001	16	भी	भी	avy	-	-	-	-	-	-	-	अभी	अभी	lwg__rp
2001	17	प्रचंड	प्रचंड	adj	any	any	-	d	-	-	-	रूप	रूप	nmod__adj
2001	18	रूप	रूप	n	m	sg	3	d	0	0	-	धारण	धारण	nmod
2001	19	धारण	धारण	n	m	sg	3	d	0	0	-	किए	कर	pof
2001	20	किए	कर	v	m	sg	3	-	या_हो+या_है	yA	active	कि	कि	ccof
2001	21	हुए	हो	v	m	sg	any	-	या	yA	-	किए	कर	lwg__vaux
2001	22	है	है	v	any	sg	3	-	है	hE	-	हुए	हो	lwg__vaux_cont
2001	23	।	।	punc	-	-	-	-	-	-	-	बताया	बता	rsym
2002	1	तेल	तेल	n	m	sg	3	d	0	0	-	कुएं	कुआँ	pof__cn
2002	2	कुएं	कुआँ	n	m	sg	3	o	0_में	0	-	लगी	लग	k7p
2002	3	में	में	psp	-	-	-	-	-	-	-	कुएं	कुआँ	lwg__psp
2002	4	गुरुवार	गुरुवार	n	m	sg	3	o	0_को	0	-	लगी	लग	k7t
2002	5	को	को	psp	-	-	-	-	-	-	-	गुरुवार	गुरुवार	lwg__psp
2002	6	आग	आग	n	f	sg	3	d	0	0	-	लगी	लग	k1
2002	7	लगी	लग	v	f	sg	any	-	या_था	yA	active	ROOT	ROOT	main
2002	8	थी	था	v	f	sg	any	-	था	WA	-	लगी	लग	lwg__vaux
2002	9	।	।	punc	-	-	-	-	-	-	-	लगी	लग	rsym
2003	1	यह	यह	pn	any	sg	3	d	-	-	-	कुआं	कुआँ	nmod__adj
2003	2	कुआं	कुआँ	n	m	sg	3	d	0	0	-	है	है	k1
2003	3	ओआईएल	ओआईएल	n	m	sg	3	o	0_का	0	-	कुआं	कुआँ	r6
2003	4	का	का	psp	m	sg	-	d	-	-	-	ओआईएल	ओआईएल	lwg__psp
2003	5	ही	ही	avy	-	-	-	-	-	-	-	ओआईएल	ओआईएल	lwg__rp
2003	6	है	है	v	any	sg	3	-	है	hE	active	ROOT	ROOT	main
2003	7	।	।	punc	-	-	-	-	-	-	-	है	है	rsym
2004	1	ओआईएल	ओआईएल	n	m	sg	3	o	0_का	0	-	महाप्रबंधक	महाप्रबंधक	r6
2004	2	के	का	psp	m	sg	-	o	-	-	-	ओआईएल	ओआईएल	lwg__psp
2004	3	महाप्रबंधक	महाप्रबंधक	n	m	sg	3	o	0	0	-	तालुकदार	तालुकदार	nmod
